codigo_da_parada;logradouro;bairro;cidade;latitude;longitude
010001;Herculano Bandeira;Pina;Recife;-8 5  12.50;-34 53 14.07
010002;Herculano Bandeira;Pina;Recife;-8 5 20.59;-34 53 6.34
010003;Domingos Ferreira;Pina;Recife;-8 5 29.30;-34 53 5.99
010004;Domingos Ferreira;Pina;Recife;-8 5 41.20;-34 53 9.22
010005;Domingos Ferreira;Pina;Recife;-8 5 52.37;-34 53 11.20
010006;Domingos Ferreira;Pina;Recife;-8 6 5.31;-34 53 16.53
010007;Domingos Ferreira;Pina;Recife;-8 6 18.65;-34 53 22.64
010008;Domingos Ferreira;Boa Viagem;Recife;-8 6 28.90;-34 53 27.37
010009;Domingos Ferreira;Pina;Recife;-8 6 40.63;-34 53 34.44
010010;Domingos Ferreira;Boa Viagem;Recife;-8 6 49.79;-34 53 40.06
010011;Domingos Ferreira;Boa Viagem;Recife;- 08 06.998;- 34 53.767
010012;Domingos Ferreira;Boa Viagem;Recife;-8 7 14.08;-34 53 54.96
010013;Domingos Ferreira;Boa Viagem;Recife;-8 7 27.80;-34 54 0.70
010014;Domingos Ferreira;Boa Viagem;Recife;-8 7 37.97;-34 54 4.52
010015;Domingos Ferreira;Boa Viagem;Recife;-8 7 47.24;-34 54 8.63
010016;Jequitinhonha;Boa Viagem;Recife;-8 8 2.50;-34 54 10.63
010017;Jequitinhonha;Boa Viagem;Recife;-8 8 7.32;-34 54 12.05
010018;Jequitinhonha;Boa Viagem;Recife;-8 8 18.60;-34 54 15.57
010019;Jequitinhonha;Boa Viagem;Recife;-8 8 29.72;-34 54 19.64
010020;Jequitinhonha;Boa Viagem;Recife;-8 8 36.67;-34 54 22.68
010021;Jequitinhonha;Boa Viagem;Recife;-8 8 44.76;-34 54 26.39
010022;Jequitinhonha;Boa Viagem;Recife;-8 9 4.49;-34 54 35.04
010023;Ayrton Senna da Silva;Boa Viagem;Jaboatão dos Guararapes;-8 9 18.05;-34 54 41.49
010024;Bernardo Vieira de Melo;Piedade;Jaboatão dos Guararapes;-8 11 11.08;-34 55 8.81
010025;Ayrton Senna da Silva;Boa Viagem;Jaboatão dos Guararapes;-8 9 39.48;-34 54 50.57
010026;Ayrton Senna da Silva;Piedade;Jaboatão dos Guararapes;-8 9 43.92;-34 54 52.20
010027;Paulo Guerra;Piedade;Jaboatão dos Guararapes;-8 9 53.38;-34 54 55.93
010028;Ayrton Senna da Silva;Piedade;Jaboatão dos Guararapes;-8 10 5.74;-34 54 59.39
010029;Ayrton Senna da Silva;Piedade;Jaboatão dos Guararapes;-8 10 16.10;-34 55 2.19
010030;Ayrton Senna da Silva;Piedade;Jaboatão dos Guararapes;-8 10 26.18;-34 55 5.22
010031;Paulo Guerra;Candeias;Jaboatão dos Guararapes;-8 10 37.93;-34 55 6.67
010032;Paulo Guerra;Candeias;Jaboatão dos Guararapes;-8 10 47.84;-34 55 9.84
010033;Paulo Guerra;Candeias;Jaboatão dos Guararapes;-8 10 54.770;-34 55 11.730
010035;Ayrton Senna da Silva;Candeias;Jaboatão dos Guararapes;-8.1869;-34.9213
010037;Joaquim Marques de Jesus;Candeias;Jaboatão dos Guararapes;-8 11 22.99;-34 55 14.72
010038;Castelo Branco;Candeias;Jaboatão dos Guararapes;-8 11 27.24;-34 55 13.80
010039;Castelo Branco;Candeias;Jaboatão dos Guararapes;-8 11 35.50;-34 55 14.93
010040;Castelo Branco;Candeias;Jaboatão dos Guararapes;-8.1964;-34.9205
010041;Castelo Branco;Candeias;Jaboatão dos Guararapes;-8 11 55.75;-34 55 11.83
010042;Castelo Branco;Candeias;Jaboatão dos Guararapes;-8 12 4.54;-34 55 8.64
010043;Castelo Branco;Candeias;Jaboatão dos Guararapes;-8 12 17.24;-34 55 9.18
010044;Castelo Branco;Candeias;Jaboatão dos Guararapes;-8 12 31.93;-34 55 12.59
010045;Castelo Branco;Candeias;Jaboatão dos Guararapes;-8 12 41.04;-34 55 15.15
010046;Castelo Branco;Barra de Jangada;Jaboatão dos Guararapes;-8 12 51.02;-34 55 18.50
010047;Castelo Branco;Barra de Jangada;Jaboatão dos Guararapes;-8 12 59.35;-34 55 21.91
010048;Osias Ribeiro;Barra de Jangada;Jaboatão dos Guararapes;-8 13 0.11;-34 55 25.14
010049;Ulisses Montarroyos;Barra de Jangada;Jaboatão dos Guararapes;-8 13 0.02;-34 55 32.89
010050;Criciúma;Barra de Jangada;Jaboatão dos Guararapes;-8 13 5.10;-34 55 42.87
010051;Criciúma;Barra de Jangada;Jaboatão dos Guararapes;-8 13 5.44;-34 55 47.57
010052;Criciúma;Barra de Jangada;Jaboatão dos Guararapes;-8 13 5.46;-34 55 54.09
010053;Cruz Alta;Barra de Jangada;Jaboatão dos Guararapes;-8 13 7.79;-34 56 3.69
010054;Cruz Alta;Barra de Jangada;Jaboatão dos Guararapes;-8 13 13.73;-34 56 2.73
010055;Cruz Alta;Barra de Jangada;Jaboatão dos Guararapes;-8 13 7.60;-34 56 3.10
010056;Criciúma;Barra de Jangada;Jaboatão dos Guararapes;-8 13 5.62;-34 56 0.21
010057;Criciúma;Barra de Jangada;Jaboatão dos Guararapes;-8 13 5.87;-34 55 53.01
010058;Criciúma;Barra de Jangada;Jaboatão dos Guararapes;-8 13 5.65;-34 55 46.20
010059;Criciúma;Barra de Jangada;Jaboatão dos Guararapes;-8 13 5.39;-34 55 40.17
010060;Ulisses Montarroyos;Barra de Jangada;Jaboatão dos Guararapes;-8 12 59.04;-34 55 32.08
010062;Castelo Branco;Barra de Jangada;Jaboatão dos Guararapes;-8 12 56.15;-34 55 19.65
010063;Castelo Branco;Candeias;Jaboatão dos Guararapes;-8 12 47.48;-34 55 16.50
010064;Castelo Branco;Candeias;Jaboatão dos Guararapes;-8 12 40.77;-34 55 14.30
010065;Castelo Branco;Candeias;Jaboatão dos Guararapes;-8 12 31.98;-34 55 11.94
010066;Castelo Branco;Candeias;Jaboatão dos Guararapes;-8 12 26.35;-34 55 10.40
010067;Castelo Branco;Candeias;Jaboatão dos Guararapes;-8 12 13.64;-34 55 7.59
010068;Castelo Branco;Candeias;Jaboatão dos Guararapes;-8 12 4.06;-34 55 8.04
010069;Castelo Branco;Candeias;Jaboatão dos Guararapes;-8 11 57.14;-34 55 10.55
010070;Castelo Branco;Candeias;Jaboatão dos Guararapes;-8 11 50.94;-34 55 12.34
010071;Castelo Branco;Candeias;Jaboatão dos Guararapes;-8 11 39.82;-34 55 14.23
010072;Castelo Branco;Candeias;Jaboatão dos Guararapes;-8 11 31.57;-34 55 13.85
010073;Bernardo Vieira de Melo;Candeias;Jaboatão dos Guararapes;-8 11 18.80;-34 55 9.19
010074;Bernardo Vieira de Melo;Piedade;Jaboatão dos Guararapes;-8 11 11.08;-34 55 8.81
010075;Bernardo Vieira de Melo;Piedade;Jaboatão dos Guararapes;-8 11 4.29;-34 55 8.09
010076;Bernardo Vieira de Melo;Piedade;Jaboatão dos Guararapes;-8 10 53.32;-34 55 5.70
010077;Bernardo Vieira de Melo;Piedade;Jaboatão dos Guararapes;-8 10 48.10;-34 55 4.31
010078;Bernardo Vieira de Melo;Piedade;Jaboatão dos Guararapes;-8 10 36.85;-34 55 0.61
010079;Bernardo Vieira de Melo;Piedade;Jaboatão dos Guararapes;-8 10 27.81;-34 54 59.66
010080;Bernardo Vieira de Melo;Piedade;Jaboatão dos Guararapes;-8 10 18.82;-34 54 57.51
010081;Bernardo Vieira de Melo;Piedade;Jaboatão dos Guararapes;-8 10 13.19;-34 54 55.89
010082;Bernardo Vieira de Melo;Piedade;Jaboatão dos Guararapes;-8 10 4.34;-34 54 53.26
010083;Bernardo Vieira de Melo;Piedade;Jaboatão dos Guararapes;-8 9 54.41;-34 54 50.26
010084;Bernardo Vieira de Melo;Piedade;Jaboatão dos Guararapes;-8 9 48.66;-34 54 48.44
010085;Bernardo Vieira de Melo;Piedade;Jaboatão dos Guararapes;-8 9 39.92;-34 54 45.35
010086;Beira Mar;Piedade;Jaboatão dos Guararapes;-8 9 31.83;-34 54 39.02
010087;Beira Mar;Piedade;Jaboatão dos Guararapes;-8 9 22.24;-34 54 35.19
010088;Boa Viagem;Boa Viagem;Recife;-8 8 59.73;-34 54 26.05
010089;Boa Viagem;Boa Viagem;Recife;-8 8 50.81;-34 54 22.20
010090;Boa Viagem;Boa Viagem;Recife;-8 8 44.10;-34 54 19.03
010091;Boa Viagem;Boa Viagem;Recife;-8 8 33.20;-34 54 13.65
010092;Boa Viagem;Boa Viagem;Recife;-8 8 22.24;-34 54 9.51
010093;Boa Viagem;Boa Viagem;Recife;-8 8 9.28;-34 54 5.21
